MsgID.LOCAL_POSITION,2.7520000,0.1115725,0.0194235,-0.1469842
MsgID.LOCAL_VELOCITY,2.7520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924810,0.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,3.0020000,0.0073797,0.0997059,-0.1836812
MsgID.LOCAL_VELOCITY,3.0020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924800,0.1830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.2520000,0.0614724,0.0010208,-0.2056435
MsgID.LOCAL_VELOCITY,3.2520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924805,0.2050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.5020000,-0.0176593,0.1316282,-0.2069126
MsgID.LOCAL_VELOCITY,3.5020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924798,0.2060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.7520000,-0.1506348,-0.0412939,-0.1850523
MsgID.LOCAL_VELOCITY,3.7520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924786,0.1850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,4.0020000,-0.0024435,-0.0783502,-0.1429659
MsgID.LOCAL_VELOCITY,4.0020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924799,0.1420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.2520000,0.1309759,-0.0549284,-0.0887096
MsgID.LOCAL_VELOCITY,4.2520000,-0.0000531,0.0001089,-0.0365623
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924811,0.0880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,4.5020000,0.0534550,0.1366342,-0.0728418
MsgID.LOCAL_VELOCITY,4.5020000,-0.0041893,-0.0038420,-0.2548380
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924804,0.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.2500000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924787,0.0860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-0.2500000
MsgID.LOCAL_POSITION,4.7520000,-0.1347849,0.1557021,-0.0869996
MsgID.LOCAL_VELOCITY,4.7520000,-0.0045349,-0.0196698,-0.2503185
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924797,0.1080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,-0.1500000
MsgID.LOCAL_POSITION,5.0020000,-0.0317307,0.0669408,-0.1086856
MsgID.LOCAL_VELOCITY,5.0020000,0.0125603,-0.0294625,-0.1513194
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924800,0.1160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,-0.0500000
MsgID.LOCAL_POSITION,5.2520000,0.0051315,-0.1495704,-0.1160868
MsgID.LOCAL_VELOCITY,5.2520000,0.0173934,-0.0261290,-0.0579431
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924804,0.1210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0600000
MsgID.LOCAL_POSITION,5.5030000,0.0522876,-0.1474397,-0.1215283
MsgID.LOCAL_VELOCITY,5.5030000,0.0098193,-0.0088906,0.0627585
MsgID.GLOBAL_POSITION,0.0000000,-122.3974523,37.7924798,0.1240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0900000
